item_id,T1_skills,T2_skills,T3_skills,T4_skills,T5_skills,full_agree_5,supermajority_4of5,avg_pairwise_jaccard_10pairs,adjudication_needed,final_skills
FS01,S02 S04,S02 S04,S02 S04,S02 S04,S02 S04,1,1,1.000,0,S02 S04
FS02,S02 S04,S02 S04,S02 S04,S02 S04,S02 S04,1,1,1.000,0,S02 S04
FS03,S02 S04,S02 S04,S02 S04,S02 S04,S02 S04,1,1,1.000,0,S02 S04
FS04,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,0,S01 S04
FS05,S01 S02 S04,S01 S02 S04,S01 S04 S05,S01 S04,S01 S04,0,0,0.700,1,S01 S04
FS06,S04 S05,S04 S05,S04 S05,S04 S05,S04 S05,1,1,1.000,0,S04 S05
FS07,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,1,1,1.000,0,S01 S03 S04
FS08,S04,S04,S04,S04,S04,1,1,1.000,0,S04
FS09,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,1,1,1.000,0,S01 S03 S04
FS10,S04 S05 S07,S04 S05 S07,S04 S05 S07,S04 S05 S07,S04 S05 S07,1,1,1.000,0,S04 S05 S07
FS11,S01 S04 S06,S01 S04 S06,S01 S04 S06,S01 S04 S06,S01 S04 S06,1,1,1.000,0,S01 S04 S06
FS12,S07,S07,S04 S07,S04 S07,S07,0,0,0.700,1,S07
FS13,S01 S02 S04,S01 S02 S04,S01 S02 S04,S01 S02 S04,S01 S02 S04,1,1,1.000,0,S01 S02 S04
FS14,S04 S07,S04 S07,S04 S07,S04 S07,S04 S07,1,1,1.000,0,S04 S07
FS15,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,0,S03 S04
FS16,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04 S06,0,1,0.867,0,S01 S04
FS17,S01 S04,S01 S04,S01 S04,S01 S04,S01 S04,1,1,1.000,0,S01 S04
FS18,S01 S04 S05,S01 S04 S05,S01 S04 S05,S01 S04 S05,S01 S04 S05,1,1,1.000,0,S01 S04 S05
FS19,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,1,1,1.000,0,S01 S03 S04
FS20,S01 S04 S06,S01 S04,S01 S04,S01 S04 S06,S01 S04,0,0,0.800,1,S01 S04 S06
