item_id,M01,M02,M03,M04,M05,audit_verdict
FS01,1,0,1,0,1*,controversial
FS02,1,0,1,0,1*,controversial
FS03,1,0,1,0,1*,controversial
FS04,0,1,1,1*,1,controversial
FS05,1,0,1,1,1,correct
FS06,0,0,1,0,1*,controversial
FS07,0,1,1,0,1,correct
FS08,0,0,1,1,0,correct
FS09,0,1,1,0,1,correct
FS10,0,0,1,1,1,correct
FS11,0,1,1,1,1*,controversial
FS12,0,1,1,1*,1,controversial
FS13,1,0,1,0,1,correct
FS14,0,0,1,0,1,correct
FS15,0,1,1,0,1,correct
FS16,0,0,1,0,1,correct
FS17,0,1,1,0,1,correct
FS18,0,0,1,0,1,correct
FS19,0,1,1,0,1,correct
FS20,0,1,1,0,1,correct
