item_id,T1_skills,T2_skills,T3_skills,T4_skills,T5_skills,full_agree,supermajority,avg_jaccard,final_skills
FS01,S02 S03,S02 S03,S02 S03,S02 S03,S02 S03,1,1,1.000,S02 S03
FS02,S02 S03,S02 S03,S02 S03,S02 S03,S02 S03,1,1,1.000,S02 S03
FS03,S02 S03,S02 S03,S02 S03,S02 S03,S02 S03,1,1,1.000,S02 S03
FS04,S01 S03,S01 S03,S01 S03,S01 S03,S01 S03,1,1,1.000,S01 S03
FS05,S01 S03,S01 S03,S01 S03,S01 S03,S01 S03,1,1,1.000,S01 S03
FS06,S03,S03,S03,S03,S03,1,1,1.000,S03
FS07,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,1,1,1.000,S01 S03 S04
FS08,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS09,S01 S03,S01 S03,S01 S03,S01 S03,S01 S03,1,1,1.000,S01 S03
FS10,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS11,S01 S03,S01 S03,S01 S03 S04,S01 S03,S01 S03,0,1,0.867,S01 S03
FS12,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS13,S02 S03 S04,S02 S03 S04,S02 S03 S04,S02 S03 S04,S02 S03 S04,1,1,1.000,S02 S03 S04
FS14,S03,S03,S03,S03,S03,1,1,1.000,S03
FS15,S01 S04,S01 S03 S04,S01 S03 S04,S01 S04,S01 S04,0,0,0.800,S01 S04
FS16,S03,S03,S03,S03,S03,1,1,1.000,S03
FS17,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS18,S03 S04,S03 S04,S03 S04,S03 S04,S03 S04,1,1,1.000,S03 S04
FS19,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,S01 S03 S04,1,1,1.000,S01 S03 S04
FS20,S01 S03 S04,S01 S03,S01 S03,S01 S03,S01 S03 S04,0,0,0.800,S01 S03 S04
