run_id,model,provider,k,input_tokens,output_tokens,total_tokens,calls,converged,structural_warnings,density,stale_failed_marker,AIC,BIC,CAIC,SABIC,SRMSR,structural_n_errors,tsqe_cell_agreement,expert_cell_agreement,RMSEA2
b3_sc5_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,openrouter,6,14140,84745,98885,5,True,5,0.4667,False,9245.1237,10269.0318,10508.0318,9510.3671,0.0759,0,0.725,0.9417,
b3_sc5_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,openrouter,6,14140,90346,104486,5,True,5,0.3833,False,9036.0687,9785.7922,9960.7922,9230.2845,0.0686,0,0.7917,0.8583,0.0807
b3_sc5_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,openrouter,5,14140,89696,103836,5,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b3_sc5_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,openrouter,6,18025,86169,104194,6,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b3_sc5_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,openrouter,6,14140,87140,101280,5,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b3_sc5_anthropic_claude-sonnet-5_auto_run5,anthropic/claude-sonnet-5,openrouter,6,18147,104282,122429,6,True,5,0.4833,False,9089.9614,10139.5743,10384.5743,9361.8636,0.0464,0,0.7083,0.9083,
b3_sc5_anthropic_claude-sonnet-5_auto_run6,anthropic/claude-sonnet-5,openrouter,6,14140,86491,100631,5,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b3_sc5_anthropic_claude-sonnet-5_auto_run7,anthropic/claude-sonnet-5,openrouter,6,14140,85929,100069,5,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b3_sc5_anthropic_claude-sonnet-5_auto_run8,anthropic/claude-sonnet-5,openrouter,6,14140,100849,114989,5,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b3_sc5_anthropic_claude-sonnet-5_auto_run9,anthropic/claude-sonnet-5,openrouter,6,14140,104348,118488,5,True,5,0.45,False,9177.2927,10132.6546,10355.6546,9424.7791,0.0729,0,0.7417,0.925,
b3_sc5_deepseek_deepseek-v4-flash_auto_run1,deepseek/deepseek-v4-flash,openrouter,5,9590,79064,88654,5,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0396
b3_sc5_deepseek_deepseek-v4-flash_auto_run10,deepseek/deepseek-v4-flash,openrouter,5,9590,89457,99047,5,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0396
b3_sc5_deepseek_deepseek-v4-flash_auto_run2,deepseek/deepseek-v4-flash,openrouter,6,9590,88884,98474,5,True,4,0.4417,False,9115.5703,10062.3639,10283.3639,9360.8371,0.0656,0,0.7333,0.9333,
b3_sc5_deepseek_deepseek-v4-flash_auto_run3,deepseek/deepseek-v4-flash,openrouter,5,9590,75801,85391,5,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0283
b3_sc5_deepseek_deepseek-v4-flash_auto_run4,deepseek/deepseek-v4-flash,openrouter,5,9590,82784,92374,5,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0194
b3_sc5_deepseek_deepseek-v4-flash_auto_run5,deepseek/deepseek-v4-flash,openrouter,6,9590,90405,99995,5,True,5,0.4583,False,9115.6133,10105.2483,10336.2483,9371.9782,0.0716,0,0.7333,0.95,
b3_sc5_deepseek_deepseek-v4-flash_auto_run6,deepseek/deepseek-v4-flash,openrouter,4,9590,92723,102313,5,True,2,0.5125,False,9071.9481,9538.9187,9647.9187,9192.9168,0.0731,0,0.75,0.9625,0.056
b3_sc5_deepseek_deepseek-v4-flash_auto_run7,deepseek/deepseek-v4-flash,openrouter,5,9590,83635,93225,5,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0261
b3_sc5_deepseek_deepseek-v4-flash_auto_run8,deepseek/deepseek-v4-flash,openrouter,5,9590,103082,112672,5,True,2,0.27,False,9210.1477,9582.8673,9669.8673,9306.7007,0.0975,0,0.77,0.84,0.0658
b3_sc5_deepseek_deepseek-v4-flash_auto_run9,deepseek/deepseek-v4-flash,openrouter,5,9590,98724,108314,5,True,3,0.47,False,9071.1699,9726.6425,9879.6425,9240.9701,0.0752,0,0.73,0.89,0.0534
b3_sc5_google_gemini-3-5-flash_auto_run1,google/gemini-3.5-flash,openrouter,5,37150,27348,64498,9,True,3,0.51,False,9050.3318,9791.487,9964.487,9242.328,0.063,0,0.69,0.95,0.0555
b3_sc5_google_gemini-3-5-flash_auto_run10,google/gemini-3.5-flash,openrouter,5,31584,28708,60292,8,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b3_sc5_google_gemini-3-5-flash_auto_run2,google/gemini-3.5-flash,openrouter,5,31083,27109,58192,8,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b3_sc5_google_gemini-3-5-flash_auto_run3,google/gemini-3.5-flash,openrouter,5,17080,24985,42065,6,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b3_sc5_google_gemini-3-5-flash_auto_run4,google/gemini-3.5-flash,openrouter,5,24502,26395,50897,7,True,3,0.44,False,9074.1148,9661.0412,9798.0412,9226.158,0.0765,0,0.76,0.85,0.073
b3_sc5_google_gemini-3-5-flash_auto_run5,google/gemini-3.5-flash,openrouter,5,38171,28513,66684,9,True,3,0.37,False,9163.0511,9638.59,9749.59,9286.2395,0.0843,0,0.73,0.9,0.0599
b3_sc5_google_gemini-3-5-flash_auto_run6,google/gemini-3.5-flash,openrouter,5,16982,25566,42548,6,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0396
b3_sc5_google_gemini-3-5-flash_auto_run7,google/gemini-3.5-flash,openrouter,5,31034,27362,58396,8,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0194
b3_sc5_google_gemini-3-5-flash_auto_run8,google/gemini-3.5-flash,openrouter,5,23874,24583,48457,7,True,3,0.4,False,9134.781,9653.1613,9774.1613,9269.0674,0.078,0,0.72,0.89,0.0715
b3_sc5_google_gemini-3-5-flash_auto_run9,google/gemini-3.5-flash,openrouter,5,23559,25950,49509,7,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0449
b3_sc5_gpt-5-5-2026-04-23_auto_run1,gpt-5.5-2026-04-23,openai,5,9610,24980,34590,5,True,2,0.27,False,9210.1477,9582.8673,9669.8673,9306.7007,0.0975,0,0.77,0.84,0.0644
b3_sc5_gpt-5-5-2026-04-23_auto_run10,gpt-5.5-2026-04-23,openai,5,9610,29313,38923,5,True,3,0.55,False,9029.6064,9865.0126,10060.0126,9246.0184,0.0519,0,0.69,0.93,0.0123
b3_sc5_gpt-5-5-2026-04-23_auto_run2,gpt-5.5-2026-04-23,openai,5,9610,28155,37765,5,True,3,0.55,False,9029.6064,9865.0126,10060.0126,9246.0184,0.0519,0,0.69,0.93,0.0304
b3_sc5_gpt-5-5-2026-04-23_auto_run3,gpt-5.5-2026-04-23,openai,5,9610,26426,36036,5,True,3,0.55,False,9029.6064,9865.0126,10060.0126,9246.0184,0.0519,0,0.69,0.93,0.0304
b3_sc5_gpt-5-5-2026-04-23_auto_run4,gpt-5.5-2026-04-23,openai,5,9610,28678,38288,5,True,4,0.52,False,9147.5525,9897.2759,10072.2759,9341.7683,0.0757,0,0.7,0.94,0.0396
