item_id,M01,M02,M03,M04,M05,audit_verdict
FS01,0,1,1,0,0,correct
FS02,0,1,1,0,1*,controversial
FS03,0,1,1,0,1*,controversial
FS04,1,0,1,1*,0*,controversial
FS05,0,1,1,1,1,correct
FS06,0,0,1,0,1*,controversial
FS07,1,0,1,0,1,correct
FS08,0,0,1,1,0,correct
FS09,1,0,1,0,1,correct
FS10,0,0,1,1,1,correct
FS11,1,0,1,1*,1,controversial
FS12,0,0,1,1*,1,controversial
FS13,0,1,1,0,1,correct
FS14,0,0,1,0,1,correct
FS15,1,0,1,0,1,correct
FS16,0,0,1,0,1,correct
FS17,0,0,1,0,1,correct
FS18,0,0,1,0,1,correct
FS19,1,0,1,0,1,correct
FS20,1,1*,1,0,1,controversial
