run_id,model,skill_id,original_name,definition,canonical_id,canonical_name,review_status,reviewer_note
b1_naive_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S01,Like-denominator subtraction,Subtract numerators (and whole number parts) when the fractions involved already share the same denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S02,Common denominator,Find a common denominator and convert unlike fractions before subtracting.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S03,Regrouping/borrowing,Borrow one whole unit (converted to the fractional denominator) from the whole-number part when the subtrahend's fraction is larger than the minuend's fraction.,C5,Borrowing/regrouping,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S04,Improper fraction conversion,Convert a mixed number whose fractional part is equal to or greater than one into standard mixed-number form before subtracting.,C6,Improper mixed-number normalization,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run1,anthropic/claude-sonnet-5,S05,Whole number minus fraction/mixed number,Rewrite a whole number as a mixed number with a fractional part (borrowing) in order to subtract a fraction or mixed number from it.,C3,Whole-number minuend/operand handling,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S01,Common denominator,Find equivalent fractions with a common denominator when the fractions being subtracted have different denominators.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S02,Fraction subtraction,Subtract numerators of two fractions that already share the same denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S03,Borrowing/regrouping,Regroup one whole unit into a fraction when the fractional part of the minuend is smaller than that of the subtrahend.,C5,Borrowing/regrouping,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S04,Mixed number operations,Correctly handle numbers composed of a whole-number part and a fractional part during subtraction.,C4,Mixed-number subtraction without regrouping,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S05,Improper fraction handling,Interpret and operate on a fractional part whose numerator is greater than or equal to its denominator within a mixed number.,C6,Improper mixed-number normalization,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run10,anthropic/claude-sonnet-5,S06,Whole-fraction interaction,Perform subtraction between a whole number and a fraction or mixed number.,C3,Whole-number minuend/operand handling,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S01,Fraction Subtraction Basics,Subtract two fractions that already share a common denominator by subtracting their numerators.,C1,Like-denominator fraction subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S02,Common Denominator,Find equivalent fractions with a common denominator before subtracting fractions with unlike denominators.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S03,Mixed Number Regrouping,Borrow one whole unit from the whole-number part and convert it into the fractional part when the minuend's fraction is smaller than the subtrahend's fraction.,C5,Borrowing/regrouping,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S04,Whole Minus Fraction,Subtract a fraction or mixed number from a whole number by converting the whole number into a fraction with the needed denominator.,C3,Whole-number minuend/operand handling,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run2,anthropic/claude-sonnet-5,S05,Improper Fraction Simplification,Recognize and simplify an improper fraction (numerator ≥ denominator) appearing within a mixed number before or during subtraction.,C6,Improper mixed-number normalization,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S01,Unlike Denominators,Find a common denominator to subtract fractions that have different denominators.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S02,Like-Denominator Subtraction,Subtract fractions directly when they already share the same denominator (no whole number parts involved).,C1,Like-denominator fraction subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S03,Mixed Number Subtraction (No Regrouping),Subtract the whole number parts and fractional parts of mixed numbers separately when the minuend's fraction is greater than or equal to the subtrahend's fraction.,C4,Mixed-number subtraction without regrouping,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S04,Regrouping/Borrowing,Borrow one whole unit (converting it into an equivalent fraction) when the subtrahend's fraction exceeds the minuend's fraction or when subtracting from/into a whole number.,C5,Borrowing/regrouping,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S05,Simplify Fraction,Reduce the resulting fraction to its lowest terms.,C8,Fraction simplification/reduction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run3,anthropic/claude-sonnet-5,S06,Improper Fractional Part Conversion,Recognize and convert a mixed number whose fractional part is equal to or greater than one into standard mixed-number form.,C6,Improper mixed-number normalization,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S01,Common Denominator,Find a common denominator to combine or compare fractions that have different denominators.,C2,Unlike-denominator conversion and subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S02,Fraction Subtraction,Subtract the numerators of two fractions that already share a common denominator.,C1,Like-denominator fraction subtraction,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S03,Whole Number Subtraction,Subtract the whole-number parts of two mixed numbers or of a whole number and a mixed number.,C3,Whole-number minuend/operand handling,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S04,Borrowing/Regrouping,Regroup one whole unit into a fraction when the fractional part of the subtrahend is larger than that of the minuend.,C5,Borrowing/regrouping,draft_ai,
b1_naive_anthropic_claude-sonnet-5_auto_run4,anthropic/claude-sonnet-5,S05,Improper Fraction Conversion,Convert an improper fraction (numerator ≥ denominator) within a mixed number into a proper whole-number-plus-fraction form.,C6,Improper mixed-number normalization,draft_ai,
